央视频道,#genre#
湖南卫视,http://111.178.106.107:9999/rtp/239.254.96.139:8908#http://119.98.88.186:4022/rtp/239.254.96.139:8908#http://171.41.254.81:8888/rtp/239.254.96.139:8908#http://27.25.77.223:4000/rtp/239.254.96.139:8908
贵州卫视,http://111.178.106.107:9999/rtp/239.69.1.150:10536#http://119.98.88.186:4022/rtp/239.69.1.150:10536#http://171.41.254.81:8888/rtp/239.69.1.150:10536#http://27.25.77.223:4000/rtp/239.69.1.150:10536
辽宁卫视,http://111.178.106.107:9999/rtp/239.69.1.71:10066#http://119.98.88.186:4022/rtp/239.69.1.71:10066#http://171.41.254.81:8888/rtp/239.69.1.71:10066#http://27.25.77.223:4000/rtp/239.69.1.71:10066
重庆卫视,http://111.178.106.107:9999/rtp/239.69.1.149:10530#http://119.98.88.186:4022/rtp/239.69.1.149:10530#http://171.41.254.81:8888/rtp/239.69.1.149:10530#http://27.25.77.223:4000/rtp/239.69.1.149:10530
黑龙江卫视,http://111.178.106.107:9999/rtp/239.254.96.138:8902#http://119.98.88.186:4022/rtp/239.254.96.138:8902#http://171.41.254.81:8888/rtp/239.254.96.138:8902#http://27.25.77.223:4000/rtp/239.254.96.138:8902

其他频道,#genre#
CETV1,http://111.178.106.107:9999/rtp/239.69.1.110:10298#http://119.98.88.186:4022/rtp/239.69.1.110:10298#http://171.41.254.81:8888/rtp/239.69.1.110:10298#http://27.25.77.223:4000/rtp/239.69.1.110:10298
爱上4K,http://111.178.106.107:9999/rtp/239.69.1.141:10482#http://119.98.88.186:4022/rtp/239.69.1.141:10482#http://171.41.254.81:8888/rtp/239.69.1.141:10482#http://27.25.77.223:4000/rtp/239.69.1.141:10482
CHC-动作电影,http://111.178.106.107:9999/rtp/239.69.1.242:11094#http://119.98.88.186:4022/rtp/239.69.1.242:11094#http://171.41.254.81:8888/rtp/239.69.1.242:11094#http://27.25.77.223:4000/rtp/239.69.1.242:11094
CHC-家庭影院,http://111.178.106.107:9999/rtp/239.69.1.243:11100#http://119.98.88.186:4022/rtp/239.69.1.243:11100#http://171.41.254.81:8888/rtp/239.69.1.243:11100#http://27.25.77.223:4000/rtp/239.69.1.243:11100
CHC-高清电影,http://111.178.106.107:9999/rtp/239.69.1.241:11088#http://119.98.88.186:4022/rtp/239.69.1.241:11088#http://171.41.254.81:8888/rtp/239.69.1.241:11088#http://27.25.77.223:4000/rtp/239.69.1.241:11088
卡酷少儿,http://111.178.106.107:9999/rtp/239.69.1.193:10800#http://119.98.88.186:4022/rtp/239.69.1.193:10800#http://171.41.254.81:8888/rtp/239.69.1.193:10800#http://27.25.77.223:4000/rtp/239.69.1.193:10800
快乐垂钓,http://111.178.106.107:9999/rtp/239.69.1.142:10488#http://119.98.88.186:4022/rtp/239.69.1.142:10488#http://171.41.254.81:8888/rtp/239.69.1.142:10488#http://27.25.77.223:4000/rtp/239.69.1.142:10488
房县综合,http://111.178.106.107:9999/rtp/239.69.1.192:10794#http://119.98.88.186:4022/rtp/239.69.1.192:10794#http://171.41.254.81:8888/rtp/239.69.1.192:10794#http://27.25.77.223:4000/rtp/239.69.1.192:10794
梨园频道,http://111.178.106.107:9999/rtp/239.69.1.33:9838#http://119.98.88.186:4022/rtp/239.69.1.33:9838#http://171.41.254.81:8888/rtp/239.69.1.33:9838#http://27.25.77.223:4000/rtp/239.69.1.33:9838
武术世界,http://111.178.106.107:9999/rtp/239.69.1.47:9922#http://119.98.88.186:4022/rtp/239.69.1.47:9922#http://171.41.254.81:8888/rtp/239.69.1.47:9922#http://27.25.77.223:4000/rtp/239.69.1.47:9922
武汉一台新闻综合,http://111.178.106.107:9999/rtp/239.69.1.145:10506#http://119.98.88.186:4022/rtp/239.69.1.145:10506#http://171.41.254.81:8888/rtp/239.69.1.145:10506#http://27.25.77.223:4000/rtp/239.69.1.145:10506
武汉三台科技生活,http://111.178.106.107:9999/rtp/239.69.1.251:11148#http://119.98.88.186:4022/rtp/239.69.1.251:11148#http://171.41.254.81:8888/rtp/239.69.1.251:11148#http://27.25.77.223:4000/rtp/239.69.1.251:11148
武汉二台电视剧,http://111.178.106.107:9999/rtp/239.69.1.146:10512#http://119.98.88.186:4022/rtp/239.69.1.146:10512#http://171.41.254.81:8888/rtp/239.69.1.146:10512#http://27.25.77.223:4000/rtp/239.69.1.146:10512
武汉五台文体,http://111.178.106.107:9999/rtp/239.69.1.147:10518#http://119.98.88.186:4022/rtp/239.69.1.147:10518#http://171.41.254.81:8888/rtp/239.69.1.147:10518#http://27.25.77.223:4000/rtp/239.69.1.147:10518
武汉六台外语,http://111.178.106.107:9999/rtp/239.69.1.36:9856#http://119.98.88.186:4022/rtp/239.69.1.36:9856#http://171.41.254.81:8888/rtp/239.69.1.36:9856#http://27.25.77.223:4000/rtp/239.69.1.36:9856
武汉四台经济,http://111.178.106.107:9999/rtp/239.69.1.35:9850#http://119.98.88.186:4022/rtp/239.69.1.35:9850#http://171.41.254.81:8888/rtp/239.69.1.35:9850#http://27.25.77.223:4000/rtp/239.69.1.35:9850
